clip,annotated,exportedDetections,tp,fn,fp,frames,clipSecondsTxt,clipSeconds30fps,clockDriftSeconds,baselineReadySecond,firstExportedDetectionFrame,lastExportedDetectionFrame,nonFrontalFrames
26122013_223310_cam,38,34,31,7,3,15783,534.31,526.1,6.57,30,378,13157,0
27122013_153916_cam,72,84,69,3,15,9077,304.3,302.57,0.13,30,61,9055,0
27122013_154548_cam,43,43,38,5,5,4895,164.78,163.17,0.01,30,81,4802,0
26122013_224532_cam,88,92,80,8,12,11182,383.86,372.73,9.53,30,193,11134,0
26122013_230103_cam,65,51,50,15,1,9216,313.66,307.2,4.86,30,155,9131,0
26122013_230654_cam,31,25,25,6,0,5404,181.93,180.13,0.17,30,168,5399,0
27122013_151644_cam,30,43,28,2,15,10663,357.68,355.43,0.65,30,23,10605,0
27122013_152435_cam,41,58,37,4,21,5134,172.7,171.13,-0.03,30,69,5051,0
