clip,annotated,exportedDetections,tp,fn,fp,frames,clipSecondsTxt,clipSeconds30fps,clockDriftSeconds,baselineReadySecond,firstExportedDetectionFrame,lastExportedDetectionFrame,nonFrontalFrames
26122013_223310_cam,38,34,28,10,6,15783,534.31,526.1,6.57,30,378,13158,0
27122013_153916_cam,72,50,42,30,8,9077,304.3,302.57,0.13,30,3287,9055,0
27122013_154548_cam,43,43,36,7,7,4895,164.78,163.17,0.01,30,81,4805,0
26122013_224532_cam,88,50,49,39,1,11182,383.86,372.73,9.53,30,4434,11134,0
26122013_230103_cam,65,45,44,21,1,9216,313.66,307.2,4.86,30,155,9133,0
26122013_230654_cam,31,24,23,8,1,5404,181.93,180.13,0.17,30,45,5050,0
27122013_151644_cam,30,33,26,4,7,10663,357.68,355.43,0.65,30,26,10606,0
27122013_152435_cam,41,50,36,5,14,5134,172.7,171.13,-0.03,30,115,5051,0
